cum_1d,cum_3d,cum_7d,cum_15d,duration_days,storm_intensity_mm_day,latitude,longitude,label
0.0,0.3,0.3,2.1999999999999997,1,0.0,25.51826286,91.9630294,0
10.6,55.9,125.0,363.7,14,25.935714285714287,26.16066111,91.85294885,0
5.4,30.0,99.2,338.3,15,22.553333333333335,25.092576,91.763689,0
15.3,30.0,69.3,142.1,15,9.473333333333333,25.67836832,91.9234343,0
2.4,5.699999999999999,5.699999999999999,9.2,2,2.3499999999999996,25.167803,92.019575,0
0.0,0.0,1.7000000000000002,9.8,1,0.0,25.08734272,91.75063827,0
0.1,1.6,12.9,42.6,1,0.1,25.82860033,91.876717,0
9.0,23.3,34.1,88.4,4,7.3,25.61919207,92.7094701,0
22.0,75.7,133.9,228.9,4,19.3,26.181606,91.772042,0
0.0,0.0,0.0,0.0,1,0.0,26.20450454,91.87202793,0
43.8,73.5,193.4,273.2,2,36.45,26.22247247,91.92053028,0
0.0,3.4,3.4,19.7,1,0.0,26.1061808,91.85158907,0
11.4,47.4,85.8,122.7,4,15.675,26.10430759,91.86227824,0
0.0,5.300000000000001,5.300000000000001,7.500000000000001,1,0.0,25.907233,91.881892,0
18.3,45.0,65.10000000000001,188.2,12,13.108333333333334,26.10035658,91.87351723,0
0.0,0.3,0.3,0.8,1,0.0,26.14547804,91.79364785,0
0.2,3.3000000000000003,40.7,53.3,1,0.2,25.8833,91.2,0
4.6,39.099999999999994,163.5,335.4,15,22.36,25.5728,91.885,0
0.0,0.0,0.0,0.0,1,0.0,25.9703,91.8584,0
0.0,0.0,0.0,2.2,1,0.0,25.5145,90.2023,0
2.5,29.5,170.5,202.4,11,18.063636363636366,25.38,91.88,0
21.6,48.0,95.5,136.3,13,10.376923076923077,26.1548,91.7351,0
8.8,11.700000000000001,14.100000000000001,28.1,2,5.8500000000000005,26.09748244,91.8744337,0
17.1,57.0,101.6,138.9,7,14.514285714285714,25.1622,92.0104,0
1.3,81.2,157.0,396.0,15,26.4,26.149,91.7351,0
21.9,56.2,125.8,264.6,7,17.97142857142857,26.1475,91.7356,0
0.0,0.0,0.0,0.0,1,0.0,26.1985,91.7998,0
0.0,10.1,56.9,70.7,1,0.0,25.203,90.5573,0
98.2,192.7,238.3,377.1,12,29.458333333333332,26.1314,91.7548,0
0.2,0.2,2.0,2.2,1,0.2,26.1666,91.7042,0
6.9,30.400000000000002,128.0,240.3,15,16.02,25.0821,91.7783,0
6.7,43.800000000000004,308.1,601.4,13,46.23076923076923,25.1472,91.7483,0
4.2,30.3,82.3,197.70000000000002,5,13.74,26.1407,91.7645,0
0.8,10.6,16.3,16.8,1,0.8,25.5114,90.215,0
5.1,27.8,85.7,208.2,11,18.181818181818183,25.9611,91.3681,0
13.5,44.0,106.3,417.1,15,27.80666666666667,26.1978,91.7665,0
0.6,4.6000000000000005,21.7,82.3,1,0.6,26.19037705,91.77306002,0
2.7,5.5,90.60000000000001,122.60000000000001,13,9.253846153846155,25.463,92.2121,0
7.4,14.8,90.6,170.2,9,18.72222222222222,26.1062,91.8717,0
0.0,0.9,0.9,1.0,1,0.0,25.5006,90.0896,0
25.6,80.5,165.5,358.5,15,23.9,26.1662,91.7138,0
40.3,75.3,150.0,201.9,15,13.46,26.1324,91.8342,0
0.0,0.3,1.2,21.299999999999997,1,0.0,25.2568,92.3825,0
12.3,32.6,45.0,77.10000000000001,2,16.3,26.1295,91.7056,0
35.8,52.9,116.69999999999999,265.6,3,17.633333333333333,26.1963,91.8074,0
15.0,41.4,138.3,303.3,11,22.845454545454547,26.159,91.8178,0
0.9,1.4,1.6,3.3000000000000003,1,0.9,26.1868,91.6739,0
0.0,3.5,13.9,90.8,1,0.0,25.4916,91.2698,0
11.3,51.0,199.0,314.2,15,20.946666666666665,26.1619,91.7697,0
0.0,0.0,0.0,1.2,1,0.0,25.0951,92.3567,0
3.1,11.2,29.5,46.1,4,7.25,25.5576,91.8506,0
0.0,0.0,0.0,0.0,1,0.0,25.5772,91.8666,0
0.0,0.0,0.0,0.0,1,0.0,25.5498,92.0757,0
5.7,24.200000000000003,31.3,100.8,5,6.2,25.7238,89.9032,0
68.9,138.9,171.4,197.6,4,42.4,26.1844,91.7896,0
0.0,0.0,0.0,5.2,1,0.0,26.10973183,91.80317334,0
35.3,70.2,244.5,328.2,9,30.988888888888887,25.1416,92.3807,0
6.6,91.0,207.9,394.1,9,28.0,26.1961,91.7825,0
0.0,0.0,0.0,0.0,1,0.0,25.0728,92.3636,0
0.0,0.0,0.0,0.0,1,0.0,26.1044,91.7082,0
0.0,0.0,1.6,1.6,1,0.0,26.1771,91.7599,0
2.7,12.600000000000001,34.7,194.4,13,13.830769230769231,26.1226,91.7162,0
34.2,42.900000000000006,79.2,120.2,15,8.013333333333334,25.583,91.893,0
6.8,22.599999999999998,73.1,249.5,2,11.0,26.1768,91.7702,0
